1.4	92.0	0.69267002	-184.20335968	-184.25182074	
1.4	94.0	0.69343672	-184.20285666	-184.25184020	
1.4	96.0	0.69466668	-184.20207641	-184.25187169	
1.4	108.0	0.71001681	-184.19114535	-184.24964386	
1.4	110.0	0.70579496	-184.18897336	-184.25155844	
1.4	112.0	0.61773968	-184.18727487	-184.27329583	
1.4	114.0	0.61726284	-184.19509942	-184.26998606	
1.4	116.0	0.61803430	-184.20225803	-184.26581017	
1.4	118.0	0.61910406	-184.20856366	-184.26065054	
1.4	120.0	0.62004323	-184.21388367	-184.25428239	
1.4	122.0	0.62082411	-184.21794031	-184.24660563	
1.4	124.0	0.62105837	-184.22060677	-184.23764082	
1.4	126.0	0.62058921	-184.22170448	-184.22722143	
1.4	128.0	0.61923808	-184.22102686	-184.21542056	
1.4	130.0	0.61690000	-184.21837556	-184.20318377	
1.4	132.0	0.61362099	-184.21355761	-184.19493764	
1.4	134.0	0.60940655	-184.20637744	-184.19110144	
1.4	136.0	0.60422827	-184.19670027	-184.18712316	
1.4	138.0	0.59826185	-184.18448060	-184.18321401	
1.4	140.0	0.59173936	-184.16973977	-184.17892173	
1.4	142.0	0.58487374	-184.15256002	-184.17403015	
1.4	144.0	0.57784796	-184.13308268	-184.16845758	
1.4	146.0	0.57081381	-184.11150318	-184.16219075	
1.4	148.0	0.56389339	-184.08806352	-184.15526528	
1.4	150.0	0.55718066	-184.06304397	-184.14775952	
1.4	152.0	0.55065780	-184.03661624	-184.14048166	
1.4	154.0	0.54486853	-184.01296785	-184.13523292	
1.4	156.0	0.53924063	-183.98495080	-184.12643684	
1.4	160.0	0.52907283	-183.92649337	-184.10842042	
1.4	162.0	0.52466697	-183.89826248	-184.09996843	
1.4	172.0	0.50558307	-183.77703918	-184.06911529	
1.4	174.0	0.50287733	-183.76458345	-184.06577204	
1.4	176.0	0.50080218	-183.75464203	-184.06157512	
1.4	178.0	0.49985356	-183.74999859	-184.05992888	
1.4	90.0	0.69233869	-184.20405497	-184.25226587	
1.45	94.0	0.68927901	-184.19327314	-184.25056943	
1.45	96.0	0.69035102	-184.19268078	-184.25061296	
1.45	98.0	0.69180397	-184.19189744	-184.25066251	
1.45	100.0	0.69358409	-184.19092415	-184.25069004	
1.45	102.0	0.69550980	-184.18978492	-184.25073184	
1.45	104.0	0.69695712	-184.18855171	-184.25102859	
1.45	106.0	0.60179773	-184.17746133	-184.28008404	
1.45	108.0	0.60221501	-184.18602277	-184.27892026	
1.45	110.0	0.60362710	-184.19435376	-184.27739362	
1.45	112.0	0.60530839	-184.20233764	-184.27542122	
1.45	114.0	0.60709372	-184.20988835	-184.27291782	
1.45	116.0	0.60891041	-184.21692190	-184.26978764	
1.45	118.0	0.61069602	-184.22335616	-184.26591398	
1.45	120.0	0.61232324	-184.22910776	-184.26109474	
1.45	122.0	0.61392340	-184.23395450	-184.25538918	
1.45	124.0	0.61518315	-184.23783314	-184.24873910	
1.45	126.0	0.61599312	-184.24060167	-184.24108107	
1.45	128.0	0.61620600	-184.24209534	-184.23261244	
1.45	130.0	0.61569651	-184.24214109	-184.22482318	
1.45	132.0	0.61439894	-184.24055900	-184.22378008	
1.45	134.0	0.61224174	-184.23716351	-184.22517127	
1.45	136.0	0.60913194	-184.23179423	-184.22604569	
1.45	138.0	0.60511249	-184.22434789	-184.22661505	
1.45	140.0	0.60033276	-184.21477864	-184.22664685	
1.45	142.0	0.59497369	-184.20309515	-184.22603076	
1.45	144.0	0.58921732	-184.18936005	-184.22472481	
1.45	146.0	0.58323306	-184.17368745	-184.22272576	
1.45	148.0	0.57716863	-184.15623701	-184.22006244	
1.45	150.0	0.57109747	-184.13706858	-184.21741075	
1.45	152.0	0.56518841	-184.11670827	-184.21366513	
1.45	154.0	0.55952610	-184.09527233	-184.20948407	
1.45	156.0	0.55414283	-184.07303549	-184.20500164	
1.45	158.0	0.54950276	-184.05389614	-184.20307559	
1.45	160.0	0.54493668	-184.03065571	-184.19790766	
1.45	162.0	0.54066236	-184.00550080	-184.19229126	
1.45	164.0	0.53685273	-183.98228796	-184.18735753	
1.45	170.0	0.52889637	-183.91452032	-184.17212775	
1.45	172.0	0.52338020	-183.88922345	-184.17070675	
1.45	174.0	0.51986868	-183.87764938	-184.17164765	
1.45	176.0	0.51673900	-183.86697169	-184.17104199	
1.45	178.0	0.51493944	-183.86099334	-184.17050177	
1.45	90.0	0.68855904	-184.19443227	-184.25087429	
1.5	94.0	0.56919473	-184.15600561	-184.27734429	
1.5	96.0	0.57229289	-184.16012976	-184.27796986	
1.5	98.0	0.57597386	-184.16546973	-184.27852013	
1.5	100.0	0.57975993	-184.17170650	-184.27885404	
1.5	102.0	0.58333694	-184.17853523	-184.27892142	
1.5	104.0	0.58658898	-184.18570576	-184.27872087	
1.5	106.0	0.58952477	-184.19302847	-184.27825379	
1.5	108.0	0.59220019	-184.20036237	-184.27750569	
1.5	110.0	0.59467886	-184.20760056	-184.27644513	
1.5	112.0	0.59701635	-184.21465930	-184.27502714	
1.5	114.0	0.59925152	-184.22146990	-184.27319436	
1.5	116.0	0.60138636	-184.22796768	-184.27087123	
1.5	118.0	0.60330776	-184.23410879	-184.26793768	
1.5	120.0	0.60559385	-184.23973164	-184.26431884	
1.5	122.0	0.60766865	-184.24475375	-184.26005215	
1.5	124.0	0.60957673	-184.24912421	-184.25506569	
1.5	126.0	0.61125089	-184.25273461	-184.24935098	
1.5	128.0	0.61258513	-184.25545874	-184.24318199	
1.5	130.0	0.61346289	-184.25714551	-184.23898367	
