1.78	90.5	0.55585437	-184.26009351	-184.25303598	
1.78	91.0	0.55586644	-184.26009918	-184.25303945	
1.78	91.5	0.55588635	-184.26010858	-184.25304509	
1.78	92.0	0.55591385	-184.26012166	-184.25305270	
1.78	92.5	0.55594865	-184.26013835	-184.25306203	
1.78	93.0	0.55599053	-184.26015857	-184.25307286	
1.78	93.5	0.55603924	-184.26018226	-184.25308491	
1.78	94.0	0.55609462	-184.26020938	-184.25309799	
1.78	94.5	0.55615656	-184.26023989	-184.25311188	
1.78	95.0	0.55622498	-184.26027377	-184.25312642	
1.78	95.5	0.55629988	-184.26031104	-184.25314145	
1.79	90.0	0.55567963	-184.26240491	-184.25231725	
1.79	90.5	0.55568322	-184.26240631	-184.25231809	
1.79	91.0	0.55569395	-184.26241054	-184.25232060	
1.79	91.5	0.55571173	-184.26241754	-184.25232465	
1.79	92.0	0.55573641	-184.26242731	-184.25233017	
1.79	92.5	0.55576782	-184.26243981	-184.25233698	
1.79	93.0	0.55580580	-184.26245502	-184.25234493	
1.79	93.5	0.55585018	-184.26247290	-184.25235386	
1.79	94.0	0.55590085	-184.26249344	-184.25236361	
1.79	94.5	0.55595769	-184.26251664	-184.25237403	
1.79	95.0	0.55602067	-184.26254249	-184.25238500	
1.79	95.5	0.55608971	-184.26257101	-184.25239639	
1.8	90.0	0.55551682	-184.26464393	-184.25164082	
1.8	90.5	0.55552003	-184.26464491	-184.25164137	
1.8	91.0	0.55552962	-184.26464786	-184.25164299	
1.8	91.5	0.55554555	-184.26465276	-184.25164563	
1.8	92.0	0.55556774	-184.26465961	-184.25164924	
1.8	92.5	0.55559608	-184.26466840	-184.25165372	
1.8	93.0	0.55563049	-184.26467913	-184.25165897	
1.8	93.5	0.55567087	-184.26469181	-184.25166491	
1.8	94.0	0.55571712	-184.26470643	-184.25167142	
1.8	94.5	0.55576919	-184.26472300	-184.25167843	
1.8	95.0	0.55582702	-184.26474156	-184.25168583	
1.8	95.5	0.55589064	-184.26476212	-184.25169356	
