rNN	rNO	aNNO	EDIF	ETRIP	ESING
   1.231	   1.300	 136.000	  37.735	 -184.12931690	 -184.18945068
   1.232	   1.300	 137.000	  39.442	 -184.12820319	 -184.19105852
   1.232	   1.300	 138.000	  41.140	 -184.12703224	 -184.19259265
   1.233	   1.300	 139.000	  42.826	 -184.12580586	 -184.19405369
   1.233	   1.300	 140.000	  44.501	 -184.12452594	 -184.19544232
   1.234	   1.300	 141.000	  46.162	 -184.12319441	 -184.19675900
   1.235	   1.300	 142.000	  47.811	 -184.12181329	 -184.19800421
   1.235	   1.300	 143.000	  49.444	 -184.12038468	 -184.19917836
   1.236	   1.300	 144.000	  51.061	 -184.11891082	 -184.20028189
   1.237	   1.300	 145.000	  52.661	 -184.11739413	 -184.20131538
   1.238	   1.300	 146.000	  54.243	 -184.11583723	 -184.20227974
   1.239	   1.300	 147.000	  55.807	 -184.11424309	 -184.20317709
   1.215	   1.300	 148.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.300	 149.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.300	 150.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.300	 151.000	   0.000	    0.00000000	    0.00000000
   1.245	   1.300	 152.000	  63.371	 -184.10585949	 -184.20684808
   1.247	   1.300	 153.000	  64.729	 -184.10412465	 -184.20727756
   1.249	   1.300	 154.000	  66.034	 -184.10237417	 -184.20760671
   1.251	   1.300	 155.000	  67.300	 -184.10061467	 -184.20786348
   1.253	   1.300	 156.000	  68.521	 -184.09885359	 -184.20804908
   1.256	   1.300	 157.000	  69.692	 -184.09709878	 -184.20816074
   1.258	   1.300	 158.000	  70.806	 -184.09535879	 -184.20819474
   1.260	   1.300	 159.000	  71.855	 -184.09364307	 -184.20815050
   1.263	   1.300	 160.000	  72.832	 -184.09196222	 -184.20802702
   1.266	   1.300	 161.000	  73.732	 -184.09032807	 -184.20782747
   1.268	   1.300	 162.000	  74.550	 -184.08875345	 -184.20755668
   1.271	   1.300	 163.000	  75.285	 -184.08725232	 -184.20722649
   1.274	   1.300	 164.000	  75.937	 -184.08583890	 -184.20685245
   1.276	   1.300	 165.000	  76.511	 -184.08452713	 -184.20645545
   1.279	   1.300	 166.000	  77.015	 -184.08332939	 -184.20606039
   1.281	   1.300	 167.000	  77.462	 -184.08225491	 -184.20569840
   1.283	   1.300	 168.000	  77.869	 -184.08130775	 -184.20539964
   1.285	   1.300	 169.000	  78.252	 -184.08048570	 -184.20518743
   1.282	   1.350	  90.000	  30.202	 -184.07981868	 -184.12794871
   1.277	   1.350	  91.000	  27.124	 -184.08432359	 -184.12754802
   1.272	   1.350	  92.000	  24.094	 -184.08860401	 -184.12700031
   1.267	   1.350	  93.000	  21.129	 -184.09266148	 -184.12633293
   1.262	   1.350	  94.000	  18.236	 -184.09648636	 -184.12554773
   1.259	   1.350	  95.000	  15.422	 -184.10007502	 -184.12465110
   1.255	   1.350	  96.000	  12.699	 -184.10344279	 -184.12367921
   1.252	   1.350	  97.000	  10.070	 -184.10660299	 -184.12265034
   1.249	   1.350	  98.000	   7.535	 -184.10956507	 -184.12157312
   1.246	   1.350	  99.000	   5.094	 -184.11233698	 -184.12045404
   1.244	   1.350	 100.000	   2.744	 -184.11492597	 -184.11929866
   1.241	   1.350	 101.000	   0.485	 -184.11733926	 -184.11811219
   1.239	   1.350	 102.000	  -1.685	 -184.11958339	 -184.11689883
   1.237	   1.350	 103.000	  -3.766	 -184.12166473	 -184.11566381
   1.235	   1.350	 104.000	  -5.757	 -184.12358939	 -184.11441508
   1.233	   1.350	 105.000	  -7.651	 -184.12536313	 -184.11317060
   1.231	   1.350	 106.000	  -9.413	 -184.12699147	 -184.11199052
   1.230	   1.350	 107.000	 -10.912	 -184.12847963	 -184.11109038
   1.228	   1.350	 108.000	 -11.697	 -184.12983256	 -184.11119270
   1.227	   1.350	 109.000	 -10.942	 -184.13105497	 -184.11361731
   1.225	   1.350	 110.000	  -8.903	 -184.13215137	 -184.11796299
   1.224	   1.350	 111.000	  -6.807	 -184.13312606	 -184.12227886
   1.223	   1.350	 112.000	  -4.952	 -184.13398315	 -184.12609089
   1.222	   1.350	 113.000	  -3.225	 -184.13472658	 -184.12958699
   1.221	   1.350	 114.000	  -1.544	 -184.13536012	 -184.13290001
   1.220	   1.350	 115.000	   0.126	 -184.13588740	 -184.13608784
   1.219	   1.350	 116.000	   1.796	 -184.13631186	 -184.13917459
   1.218	   1.350	 117.000	   3.473	 -184.13663681	 -184.14217122
   1.218	   1.350	 118.000	   5.157	 -184.13686539	 -184.14508297
   1.217	   1.350	 119.000	   6.848	 -184.13700057	 -184.14791291
   1.216	   1.350	 120.000	   8.545	 -184.13704514	 -184.15066307
   1.216	   1.350	 121.000	  10.249	 -184.13700169	 -184.15333493
   1.215	   1.350	 122.000	  11.959	 -184.13687253	 -184.15593099
   1.215	   1.350	 123.000	  13.676	 -184.13665944	 -184.15845287
   1.214	   1.350	 124.000	  15.401	 -184.13636256	 -184.16090495
   1.215	   1.350	 125.000	   0.000	    0.00000000	    0.00000000
   1.214	   1.350	 126.000	  18.924	 -184.13546912	 -184.16562613
   1.214	   1.350	 127.000	  20.700	 -184.13487838	 -184.16786587
   1.213	   1.350	 128.000	  22.497	 -184.13420720	 -184.17005776
   1.213	   1.350	 129.000	  24.235	 -184.13352584	 -184.17214601
   1.213	   1.350	 130.000	  25.955	 -184.13278846	 -184.17414995
   1.213	   1.350	 131.000	  27.667	 -184.13198874	 -184.17607936
   1.213	   1.350	 132.000	  29.375	 -184.13112591	 -184.17793782
   1.213	   1.350	 133.000	  31.078	 -184.13020058	 -184.17972718
   1.213	   1.350	 134.000	  32.778	 -184.12921384	 -184.18144875
   1.213	   1.350	 135.000	  34.473	 -184.12816695	 -184.18310360
   1.215	   1.350	 136.000	   0.000	    0.00000000	    0.00000000
   1.214	   1.350	 137.000	  37.851	 -184.12589813	 -184.18621677
   1.214	   1.350	 138.000	  39.532	 -184.12467898	 -184.18767670
   1.214	   1.350	 139.000	  41.207	 -184.12340525	 -184.18907319
   1.215	   1.350	 140.000	  42.877	 -184.12207838	 -184.19040701
   1.215	   1.350	 141.000	  44.540	 -184.12069991	 -184.19167913
   1.216	   1.350	 142.000	  46.197	 -184.11927150	 -184.19289126
   1.216	   1.350	 143.000	  47.849	 -184.11779516	 -184.19404812
   1.215	   1.350	 144.000	   0.000	    0.00000000	    0.00000000
   1.218	   1.350	 145.000	  51.154	 -184.11471104	 -184.19622959
   1.219	   1.350	 146.000	  52.769	 -184.11310309	 -184.19719593
   1.219	   1.350	 147.000	  54.374	 -184.11145594	 -184.19810624
   1.220	   1.350	 148.000	  55.959	 -184.10976989	 -184.19894554
   1.221	   1.350	 149.000	  57.524	 -184.10804637	 -184.19971689
   1.223	   1.350	 150.000	  59.070	 -184.10628736	 -184.20042133
   1.224	   1.350	 151.000	  60.594	 -184.10449524	 -184.20105788
   1.225	   1.350	 152.000	  62.094	 -184.10267266	 -184.20162582
   1.227	   1.350	 153.000	  63.567	 -184.10082268	 -184.20212262
   1.228	   1.350	 154.000	  65.008	 -184.09894878	 -184.20254557
   1.230	   1.350	 155.000	  66.413	 -184.09705498	 -184.20289091
   1.232	   1.350	 156.000	  67.777	 -184.09514593	 -184.20315499
   1.234	   1.350	 157.000	  69.092	 -184.09322699	 -184.20333288
   1.236	   1.350	 158.000	  70.352	 -184.09130456	 -184.20341728
   1.238	   1.350	 159.000	  71.546	 -184.08938622	 -184.20340251
   1.241	   1.350	 160.000	  72.665	 -184.08748095	 -184.20327976
   1.244	   1.350	 161.000	  73.695	 -184.08559954	 -184.20304068
   1.247	   1.350	 162.000	  74.625	 -184.08375488	 -184.20267813
   1.251	   1.350	 163.000	  75.442	 -184.08196221	 -184.20218592
   1.254	   1.350	 164.000	  76.131	 -184.08023946	 -184.20156156
   1.258	   1.350	 165.000	  76.686	 -184.07860663	 -184.20081412
   1.262	   1.350	 166.000	  77.114	 -184.07708567	 -184.19997537
   1.267	   1.350	 167.000	  77.421	 -184.07569847	 -184.19907684
   1.270	   1.350	 168.000	  77.636	 -184.07446401	 -184.19818561
   1.274	   1.350	 169.000	  77.800	 -184.07339497	 -184.19737705
   1.254	   1.400	  90.000	  28.529	 -184.08448142	 -184.12994588
   1.250	   1.400	  91.000	  25.444	 -184.08870862	 -184.12925631
   1.246	   1.400	  92.000	  22.452	 -184.09271993	 -184.12849964
   1.242	   1.400	  93.000	  19.542	 -184.09649355	 -184.12763649
   1.239	   1.400	  94.000	  16.728	 -184.10000628	 -184.12666381
   1.236	   1.400	  95.000	  14.022	 -184.10328522	 -184.12563060
   1.234	   1.400	  96.000	  11.423	 -184.10635256	 -184.12455583
   1.231	   1.400	  97.000	   8.927	 -184.10922119	 -184.12344653
   1.229	   1.400	  98.000	   6.530	 -184.11190098	 -184.12230682
   1.227	   1.400	  99.000	   4.230	 -184.11440026	 -184.12114072
   1.225	   1.400	 100.000	   2.023	 -184.11672676	 -184.11995032
   1.223	   1.400	 101.000	  -0.094	 -184.11888767	 -184.11873732
   1.221	   1.400	 102.000	  -2.126	 -184.12088975	 -184.11750139
   1.219	   1.400	 103.000	  -4.078	 -184.12273940	 -184.11623994
   1.218	   1.400	 104.000	  -5.959	 -184.12444263	 -184.11494695
   1.216	   1.400	 105.000	  -7.777	 -184.12600514	 -184.11361174
   1.215	   1.400	 106.000	  -9.544	 -184.12743232	 -184.11222299
   1.213	   1.400	 107.000	 -11.243	 -184.12872927	 -184.11081305
   1.212	   1.400	 108.000	 -12.621	 -184.12990081	 -184.10978770
   1.211	   1.400	 109.000	 -12.410	 -184.13095160	 -184.11117483
   1.209	   1.400	 110.000	 -10.021	 -184.13188581	 -184.11591695
   1.208	   1.400	 111.000	  -7.740	 -184.13270783	 -184.12037292
   1.207	   1.400	 112.000	  -5.914	 -184.13342153	 -184.12399660
   1.206	   1.400	 113.000	  -4.260	 -184.13403068	 -184.12724211
   1.205	   1.400	 114.000	  -2.661	 -184.13453886	 -184.13029752
   1.204	   1.400	 115.000	  -1.080	 -184.13494950	 -184.13322868
   1.204	   1.400	 116.000	   0.499	 -184.13526581	 -184.13606158
   1.203	   1.400	 117.000	   2.082	 -184.13549086	 -184.13880801
   1.228	   1.450	  90.000	  25.497	 -184.08924253	 -184.12987484
   1.225	   1.450	  91.000	  22.479	 -184.09317907	 -184.12900219
   1.222	   1.450	  92.000	  19.576	 -184.09684066	 -184.12803704
   1.215	   1.450	  93.000	   0.000	    0.00000000	    0.00000000
   1.218	   1.450	  94.000	  14.130	 -184.10339966	 -184.12591749
   1.216	   1.450	  95.000	  11.584	 -184.10635898	 -184.12481941
   1.214	   1.450	  96.000	   9.147	 -184.10912472	 -184.12370218
   1.212	   1.450	  97.000	   6.816	 -184.11170675	 -184.12256915
   1.210	   1.450	  98.000	   4.587	 -184.11411378	 -184.12142341
   1.209	   1.450	  99.000	   2.456	 -184.11635378	 -184.12026738
   1.207	   1.450	 100.000	   0.420	 -184.11843415	 -184.11910282
   1.206	   1.450	 101.000	  -1.526	 -184.12036180	 -184.11793049
   1.204	   1.450	 102.000	  -3.384	 -184.12214326	 -184.11674972
   1.203	   1.450	 103.000	  -5.163	 -184.12378463	 -184.11555744
   1.201	   1.450	 104.000	  -6.868	 -184.12529168	 -184.11434606
   1.200	   1.450	 105.000	  -8.516	 -184.12666987	 -184.11309904
   1.199	   1.450	 106.000	 -10.132	 -184.12792436	 -184.11177827
   1.198	   1.450	 107.000	 -11.780	 -184.12906002	 -184.11028789
   1.196	   1.450	 108.000	 -13.603	 -184.13008146	 -184.10840292
   1.195	   1.450	 109.000	 -14.366	 -184.13099306	 -184.10809867
   1.194	   1.450	 110.000	 -10.911	 -184.13179891	 -184.11441136
   1.193	   1.450	 111.000	  -8.980	 -184.13250305	 -184.11819317
   1.192	   1.450	 112.000	  -7.458	 -184.13310917	 -184.12122467
   1.191	   1.450	 113.000	  -6.009	 -184.13362075	 -184.12404408
   1.190	   1.450	 114.000	  -4.577	 -184.13404115	 -184.12674788
   1.190	   1.450	 115.000	  -3.144	 -184.13437352	 -184.12936333
   1.189	   1.450	 116.000	  -1.707	 -184.13462087	 -184.13190127
   1.188	   1.450	 117.000	  -0.263	 -184.13478600	 -184.13436719
   1.187	   1.450	 118.000	   1.188	 -184.13487158	 -184.13676436
   1.187	   1.450	 119.000	   2.645	 -184.13488013	 -184.13909522
   1.186	   1.450	 120.000	   4.109	 -184.13481402	 -184.14136164
   1.185	   1.450	 121.000	   5.578	 -184.13467548	 -184.14356525
   1.185	   1.450	 122.000	   7.054	 -184.13446662	 -184.14570746
   1.184	   1.450	 123.000	   8.534	 -184.13418941	 -184.14778976
   1.183	   1.450	 124.000	  10.020	 -184.13384571	 -184.14981336
   1.183	   1.450	 125.000	  11.510	 -184.13343726	 -184.15177950
   1.182	   1.450	 126.000	  13.004	 -184.13296568	 -184.15368944
   1.182	   1.450	 127.000	  14.503	 -184.13243247	 -184.15554447
   1.181	   1.450	 128.000	  16.006	 -184.13183896	 -184.15734599
   1.181	   1.450	 129.000	  17.514	 -184.13118625	 -184.15909603
   1.215	   1.450	 130.000	   0.000	    0.00000000	    0.00000000
   1.180	   1.450	 131.000	  20.688	 -184.12955508	 -184.16252286
   1.180	   1.450	 132.000	  22.206	 -184.12872734	 -184.16411477
   1.179	   1.450	 133.000	  23.725	 -184.12784834	 -184.16565680
   1.215	   1.450	 134.000	   0.000	    0.00000000	    0.00000000
   1.179	   1.450	 135.000	  26.953	 -184.12571606	 -184.16866791
   1.179	   1.450	 136.000	  28.475	 -184.12466740	 -184.17004519
   1.215	   1.450	 137.000	   0.000	    0.00000000	    0.00000000
   1.178	   1.450	 138.000	  31.624	 -184.12231642	 -184.17271283
   1.215	   1.450	 139.000	   0.000	    0.00000000	    0.00000000
   1.178	   1.450	 140.000	  34.696	 -184.11990044	 -184.17519237
   1.177	   1.450	 141.000	  36.230	 -184.11862602	 -184.17636202
   1.177	   1.450	 142.000	  37.765	 -184.11730697	 -184.17748906
   1.177	   1.450	 143.000	  39.302	 -184.11594386	 -184.17857479
   1.177	   1.450	 144.000	  40.840	 -184.11453739	 -184.17962030
   1.177	   1.450	 145.000	  42.381	 -184.11308833	 -184.18062655
   1.177	   1.450	 146.000	  43.924	 -184.11159746	 -184.18159448
   1.177	   1.450	 147.000	  45.469	 -184.11006558	 -184.18252496
   1.177	   1.450	 148.000	  47.016	 -184.10849348	 -184.18341890
   1.177	   1.450	 149.000	  48.566	 -184.10688199	 -184.18427717
   1.176	   1.450	 150.000	  50.118	 -184.10523191	 -184.18510063
   1.176	   1.450	 151.000	  51.673	 -184.10354410	 -184.18589015
   1.176	   1.450	 152.000	  53.230	 -184.10181940	 -184.18664666
   1.176	   1.450	 153.000	  54.789	 -184.10005868	 -184.18737105
   1.176	   1.450	 154.000	  56.351	 -184.09826286	 -184.18806430
   1.176	   1.450	 155.000	  57.916	 -184.09643286	 -184.18872724
   1.176	   1.450	 156.000	  59.482	 -184.09456968	 -184.18936098
   1.176	   1.450	 157.000	  61.052	 -184.09267433	 -184.18996650
   1.176	   1.450	 158.000	  62.624	 -184.09074791	 -184.19054502
   1.176	   1.450	 159.000	  64.198	 -184.08879159	 -184.19109773
   1.176	   1.450	 160.000	  65.775	 -184.08680664	 -184.19162597
   1.176	   1.450	 161.000	  67.355	 -184.08479442	 -184.19213116
   1.176	   1.450	 162.000	  68.937	 -184.08275648	 -184.19261520
   1.176	   1.450	 163.000	  70.523	 -184.08069448	 -184.19307973
   1.175	   1.450	 164.000	  72.111	 -184.07861034	 -184.19352721
   1.175	   1.450	 165.000	  73.703	 -184.07650626	 -184.19396005
   1.175	   1.450	 166.000	  75.299	 -184.07438490	 -184.19438149
   1.174	   1.450	 167.000	  76.899	 -184.07224940	 -184.19479532
   1.174	   1.450	 168.000	  78.503	 -184.07010371	 -184.19520613
   1.173	   1.450	 169.000	  80.112	 -184.06795296	 -184.19561958
   1.205	   1.500	  90.000	  20.983	 -184.09473119	 -184.12816905
   1.204	   1.500	  91.000	  18.145	 -184.09818271	 -184.12709883
   1.202	   1.500	  92.000	  15.439	 -184.10141159	 -184.12601576
   1.201	   1.500	  93.000	  12.856	 -184.10443505	 -184.12492220
   1.199	   1.500	  94.000	  10.389	 -184.10726492	 -184.12382138
   1.197	   1.500	  95.000	   8.035	 -184.10991120	 -184.12271652
   1.196	   1.500	  96.000	   5.791	 -184.11238289	 -184.12161078
   1.195	   1.500	  97.000	   3.651	 -184.11468833	 -184.12050710
   1.193	   1.500	  98.000	   1.615	 -184.11683526	 -184.11940833
   1.192	   1.500	  99.000	  -0.322	 -184.11883097	 -184.11831729
   1.191	   1.500	 100.000	  -2.162	 -184.12068228	 -184.11723676
   1.189	   1.500	 101.000	  -3.907	 -184.12239561	 -184.11616964
   1.188	   1.500	 102.000	  -5.558	 -184.12397703	 -184.11511928
   1.187	   1.500	 103.000	  -7.118	 -184.12543225	 -184.11408975
   1.186	   1.500	 104.000	  -8.584	 -184.12676665	 -184.11308705
   1.185	   1.500	 105.000	  -9.954	 -184.12798533	 -184.11212207
   1.184	   1.500	 106.000	 -11.217	 -184.12909311	 -184.11121844
   1.183	   1.500	 107.000	 -12.330	 -184.13009451	 -184.11044544
   1.182	   1.500	 108.000	 -13.100	 -184.13099384	 -184.11011690
   1.181	   1.500	 109.000	 -13.219	 -184.13179519	 -184.11072899
   1.180	   1.500	 110.000	 -12.228	 -184.13250232	 -184.11301501
   1.179	   1.500	 111.000	 -11.058	 -184.13311891	 -184.11549628
   1.178	   1.500	 112.000	  -9.854	 -184.13364840	 -184.11794580
   1.177	   1.500	 113.000	  -8.628	 -184.13409401	 -184.12034497
   1.177	   1.500	 114.000	  -7.386	 -184.13445882	 -184.12268837
   1.176	   1.500	 115.000	  -6.131	 -184.13474571	 -184.12497457
   1.175	   1.500	 116.000	  -4.866	 -184.13495743	 -184.12720350
   1.174	   1.500	 117.000	  -3.590	 -184.13509656	 -184.12937585
   1.174	   1.500	 118.000	  -2.305	 -184.13516554	 -184.13149227
   1.173	   1.500	 119.000	  -1.012	 -184.13516668	 -184.13355376
   1.172	   1.500	 120.000	   0.288	 -184.13510214	 -184.13556126
   1.172	   1.500	 121.000	   1.595	 -184.13497398	 -184.13751580
   1.171	   1.500	 122.000	   2.908	 -184.13478413	 -184.13941835
   1.170	   1.500	 123.000	   4.227	 -184.13453443	 -184.14126994
   1.170	   1.500	 124.000	   5.550	 -184.13422660	 -184.14307152
   1.169	   1.500	 125.000	   6.879	 -184.13386228	 -184.14482404
   1.169	   1.500	 126.000	   8.211	 -184.13344301	 -184.14652842
   1.168	   1.500	 127.000	   9.548	 -184.13297025	 -184.14818558
   1.168	   1.500	 128.000	  10.888	 -184.13244540	 -184.14979641
   1.167	   1.500	 129.000	  12.231	 -184.13186979	 -184.15136179
   1.166	   1.500	 130.000	  13.578	 -184.13124469	 -184.15288259
   1.166	   1.500	 131.000	  14.927	 -184.13057130	 -184.15435964
   1.165	   1.500	 132.000	  16.279	 -184.12985080	 -184.15579380
   1.165	   1.500	 133.000	  17.634	 -184.12908431	 -184.15718590
   1.165	   1.500	 134.000	  18.991	 -184.12827294	 -184.15853680
   1.164	   1.500	 135.000	  20.563	 -184.12722778	 -184.15999649
   1.164	   1.500	 136.000	  21.929	 -184.12632102	 -184.16126714
   1.163	   1.500	 137.000	  23.296	 -184.12537497	 -184.16249902
   1.163	   1.500	 138.000	  24.664	 -184.12438812	 -184.16369249
   1.215	   1.500	 139.000	   0.000	    0.00000000	    0.00000000
   1.162	   1.500	 140.000	  27.408	 -184.12229239	 -184.16596939
   1.215	   1.500	 141.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.500	 142.000	   0.000	    0.00000000	    0.00000000
   1.161	   1.500	 143.000	  31.695	 -184.11864889	 -184.16915879
   1.161	   1.500	 144.000	  33.249	 -184.11719105	 -184.17017599
   1.160	   1.500	 145.000	  34.619	 -184.11593154	 -184.17110005
   1.160	   1.500	 146.000	  35.993	 -184.11464198	 -184.17199985
   1.160	   1.500	 147.000	  37.367	 -184.11332159	 -184.17286979
   1.159	   1.500	 148.000	  38.741	 -184.11197104	 -184.17370954
   1.159	   1.500	 149.000	  40.116	 -184.11059139	 -184.17451954
   1.159	   1.500	 150.000	  41.489	 -184.10918385	 -184.17530043
   1.158	   1.500	 151.000	  42.861	 -184.10774975	 -184.17605292
   1.158	   1.500	 152.000	  44.231	 -184.10629055	 -184.17677775
   1.158	   1.500	 153.000	  45.600	 -184.10480781	 -184.17747568
   1.157	   1.500	 154.000	  46.965	 -184.10330325	 -184.17814745
   1.157	   1.500	 155.000	  48.328	 -184.10177871	 -184.17879384
   1.156	   1.500	 156.000	  49.686	 -184.10023626	 -184.17941556
   1.156	   1.500	 157.000	  51.039	 -184.09867811	 -184.18001340
   1.156	   1.500	 158.000	  52.385	 -184.09710679	 -184.18058806
   1.155	   1.500	 159.000	  53.724	 -184.09552505	 -184.18114024
   1.154	   1.500	 160.000	  55.054	 -184.09393604	 -184.18167061
   1.154	   1.500	 161.000	  56.373	 -184.09234325	 -184.18217976
   1.153	   1.500	 162.000	  57.679	 -184.09075066	 -184.18266825
   1.153	   1.500	 163.000	  58.969	 -184.08916280	 -184.18313650
   1.152	   1.500	 164.000	  60.241	 -184.08758481	 -184.18358481
   1.151	   1.500	 165.000	  61.490	 -184.08602256	 -184.18401332
   1.150	   1.500	 166.000	  62.713	 -184.08448278	 -184.18442195
   1.149	   1.500	 167.000	  63.904	 -184.08297312	 -184.18481039
   1.148	   1.500	 168.000	  65.058	 -184.08150227	 -184.18517805
   1.147	   1.500	 169.000	  66.167	 -184.08008006	 -184.18552411
   1.186	   1.550	  90.000	  15.116	 -184.10093376	 -184.12502317
   1.185	   1.550	  91.000	  12.529	 -184.10397220	 -184.12393828
   1.184	   1.550	  92.000	  10.061	 -184.10682224	 -184.12285585
   1.183	   1.550	  93.000	   7.709	 -184.10949316	 -184.12177876
   1.182	   1.550	  94.000	   5.469	 -184.11199364	 -184.12070977
   1.181	   1.550	  95.000	   3.338	 -184.11433187	 -184.11965173
   1.179	   1.550	  96.000	   1.313	 -184.11651559	 -184.11860742
   1.178	   1.550	  97.000	  -0.610	 -184.11855207	 -184.11757977
   1.177	   1.550	  98.000	  -2.432	 -184.12044819	 -184.11657184
   1.177	   1.550	  99.000	  -4.156	 -184.12221045	 -184.11558705
   1.176	   1.550	 100.000	  -5.783	 -184.12384498	 -184.11462933
   1.175	   1.550	 101.000	  -7.313	 -184.12535756	 -184.11370360
   1.174	   1.550	 102.000	  -8.746	 -184.12675367	 -184.11281633
   1.173	   1.550	 103.000	 -10.079	 -184.12803846	 -184.11197647
   1.172	   1.550	 104.000	 -11.308	 -184.12921681	 -184.11119689
   1.171	   1.550	 105.000	 -12.423	 -184.13029334	 -184.11049573
   1.170	   1.550	 106.000	 -13.415	 -184.13127240	 -184.10989388
   1.169	   1.550	 107.000	 -14.282	 -184.13215809	 -184.10939752
   1.169	   1.550	 108.000	 -15.003	 -184.13295433	 -184.10904541
   1.168	   1.550	 109.000	 -15.251	 -184.13366477	 -184.10936038
   1.167	   1.550	 110.000	 -14.795	 -184.13429288	 -184.11071625
   1.166	   1.550	 111.000	 -13.977	 -184.13484195	 -184.11256843
   1.166	   1.550	 112.000	 -13.027	 -184.13531510	 -184.11455531
   1.165	   1.550	 113.000	 -12.019	 -184.13571524	 -184.11656144
   1.164	   1.550	 114.000	 -10.979	 -184.13604515	 -184.11854915
   1.164	   1.550	 115.000	  -9.917	 -184.13630747	 -184.12050408
   1.163	   1.550	 116.000	  -8.838	 -184.13650467	 -184.12242011
   1.162	   1.550	 117.000	  -7.746	 -184.13663909	 -184.12429440
   1.215	   1.550	 118.000	   0.000	    0.00000000	    0.00000000
   1.161	   1.550	 119.000	  -5.531	 -184.13672838	 -184.12791374
   1.160	   1.550	 120.000	  -4.411	 -184.13668733	 -184.12965846
   1.160	   1.550	 121.000	  -3.283	 -184.13659169	 -184.13136018
   1.159	   1.550	 122.000	  -2.149	 -184.13644326	 -184.13301934
   1.159	   1.550	 123.000	  -1.009	 -184.13624371	 -184.13463650
   1.158	   1.550	 124.000	   0.137	 -184.13599467	 -184.13621226
   1.158	   1.550	 125.000	   1.286	 -184.13569765	 -184.13774725
   1.157	   1.550	 126.000	   2.440	 -184.13535412	 -184.13924209
   1.157	   1.550	 127.000	   3.597	 -184.13496548	 -184.14069744
   1.156	   1.550	 128.000	   4.757	 -184.13453305	 -184.14211396
   1.155	   1.550	 129.000	   5.920	 -184.13405814	 -184.14349229
   1.155	   1.550	 130.000	   7.085	 -184.13354198	 -184.14483306
   1.155	   1.550	 131.000	   8.252	 -184.13298580	 -184.14613690
   1.154	   1.550	 132.000	   9.421	 -184.13239077	 -184.14740448
   1.154	   1.550	 133.000	  10.591	 -184.13175804	 -184.14863642
   1.153	   1.550	 134.000	  11.762	 -184.13108876	 -184.14983331
   1.153	   1.550	 135.000	  12.934	 -184.13038406	 -184.15099583
   1.152	   1.550	 136.000	  14.106	 -184.12964505	 -184.15212458
   1.152	   1.550	 137.000	  15.278	 -184.12887286	 -184.15322018
   1.151	   1.550	 138.000	  16.450	 -184.12806860	 -184.15428328
   1.215	   1.550	 139.000	   0.000	    0.00000000	    0.00000000
   1.150	   1.550	 140.000	  18.791	 -184.12636848	 -184.15631435
   1.150	   1.550	 141.000	  19.960	 -184.12547492	 -184.15728360
   1.150	   1.550	 142.000	  21.128	 -184.12455395	 -184.15822285
   1.149	   1.550	 143.000	  22.293	 -184.12360675	 -184.15913282
   1.149	   1.550	 144.000	  23.456	 -184.12263455	 -184.16001426
   1.148	   1.550	 145.000	  24.617	 -184.12163851	 -184.16086825
   1.215	   1.550	 146.000	   0.000	    0.00000000	    0.00000000
   1.147	   1.550	 147.000	  27.402	 -184.11907570	 -184.16274340
   1.147	   1.550	 148.000	  28.555	 -184.11800354	 -184.16350887
   1.146	   1.550	 149.000	  29.703	 -184.11691340	 -184.16424801
   1.215	   1.550	 150.000	   0.000	    0.00000000	    0.00000000
   1.146	   1.550	 151.000	  31.980	 -184.11468594	 -184.16564924
   1.145	   1.550	 152.000	  33.107	 -184.11355225	 -184.16631237
   1.145	   1.550	 153.000	  34.226	 -184.11240782	 -184.16695119
   1.144	   1.550	 154.000	  35.336	 -184.11125468	 -184.16756624
   1.144	   1.550	 155.000	  36.435	 -184.11009508	 -184.16815818
   1.143	   1.550	 156.000	  37.523	 -184.10893110	 -184.16872766
   1.143	   1.550	 157.000	  38.599	 -184.10776477	 -184.16927575
   1.142	   1.550	 158.000	  39.663	 -184.10659749	 -184.16980449
   1.215	   1.550	 159.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.550	 160.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.550	 161.000	   0.000	    0.00000000	    0.00000000
   1.215	   1.550	 162.000	   0.000	    0.00000000	    0.00000000
   1.140	   1.550	 163.000	  44.936	 -184.10049386	 -184.17210444
   1.139	   1.550	 164.000	  45.862	 -184.09939702	 -184.17248317
   1.139	   1.550	 165.000	  46.757	 -184.09833056	 -184.17284208
   1.138	   1.550	 166.000	  47.617	 -184.09729844	 -184.17318027
   1.138	   1.550	 167.000	  48.439	 -184.09630534	 -184.17349730
   1.137	   1.550	 168.000	  49.220	 -184.09535627	 -184.17379284
   1.137	   1.550	 169.000	  49.956	 -184.09445648	 -184.17406661
   1.169	   1.600	  90.000	   8.070	 -184.10811123	 -184.12097197
   1.168	   1.600	  91.000	   5.767	 -184.11074531	 -184.11993632
   1.168	   1.600	  92.000	   3.574	 -184.11321813	 -184.11891320
   1.167	   1.600	  93.000	   1.486	 -184.11553716	 -184.11790516
