1.100	156.000	22.56
1.100	157.000	22.06
1.100	158.000	21.52
1.100	159.000	20.94
1.100	160.000	20.33
1.100	161.000	19.68
1.100	162.000	18.99
1.100	163.000	18.24
1.100	164.000	17.45
1.100	165.000	16.60
1.100	166.000	15.70
1.100	167.000	14.73
1.100	168.000	13.70
1.100	169.000	12.59
1.100	170.000	11.82
1.100	171.000	10.59
1.100	172.000	9.30
1.100	173.000	7.95
1.150	90.000	24.76
1.150	91.000	24.89
1.150	92.000	24.96
1.150	93.000	24.95
1.150	94.000	24.87
1.150	95.000	24.71
1.150	96.000	24.48
1.150	97.000	24.15
1.150	98.000	23.71
1.150	99.000	23.14
1.150	100.000	22.44
1.150	101.000	21.55
1.150	102.000	20.40
1.150	103.000	18.88
1.150	104.000	16.93
1.150	105.000	14.18
1.150	106.000	10.32
1.150	107.000	4.58
1.150	108.000	3.15
1.150	109.000	10.65
1.150	110.000	15.79
1.150	111.000	19.10
1.150	112.000	21.38
1.150	113.000	23.01
1.150	114.000	24.26
1.150	115.000	25.26
1.150	116.000	26.08
1.150	117.000	26.77
1.150	118.000	27.32
1.150	119.000	27.83
1.150	120.000	28.23
1.150	121.000	28.57
1.150	122.000	28.87
1.150	123.000	29.12
1.150	124.000	29.34
1.150	125.000	29.49
1.150	126.000	29.64
1.150	127.000	29.73
1.150	128.000	29.83
1.150	129.000	29.87
1.150	130.000	31.11
1.150	131.000	29.86
1.150	132.000	29.86
1.150	133.000	29.82
1.150	134.000	29.77
1.150	135.000	29.69
1.150	136.000	29.60
1.150	137.000	29.49
1.150	138.000	29.35
1.150	140.000	29.04
1.150	141.000	28.85
1.150	142.000	28.64
1.150	143.000	28.43
1.150	144.000	28.19
1.150	145.000	27.93
1.150	146.000	27.66
1.150	147.000	27.37
1.150	148.000	27.05
1.150	149.000	26.72
1.150	150.000	26.36
1.150	151.000	25.98
1.150	152.000	25.58
1.150	153.000	25.14
1.150	154.000	24.69
1.150	155.000	24.21
1.150	156.000	23.70
1.150	157.000	23.14
1.150	158.000	22.57
1.150	159.000	21.95
1.150	160.000	21.29
1.150	161.000	20.59
1.150	162.000	19.84
1.150	163.000	19.04
1.150	164.000	18.18
1.150	165.000	17.27
1.150	166.000	16.30
1.150	167.000	15.27
1.150	168.000	14.16
1.150	169.000	12.98
1.150	170.000	11.73
1.150	171.000	10.42
1.150	172.000	9.06
1.150	173.000	7.68
1.150	174.000	6.33
1.150	175.000	5.06
1.150	176.000	3.88
1.150	177.000	2.80
1.200	90.000	25.89
1.200	91.000	26.10
1.200	92.000	26.23
1.200	93.000	26.24
1.200	94.000	26.20
1.200	95.000	26.04
1.200	96.000	25.82
1.200	97.000	25.52
1.200	98.000	25.09
1.200	99.000	24.55
1.200	100.000	23.89
1.200	101.000	23.04
1.200	102.000	21.93
1.200	103.000	20.52
1.200	104.000	18.65
1.200	105.000	16.11
1.200	106.000	12.37
1.200	107.000	6.72
1.200	108.000	1.91
1.200	109.000	11.58
1.200	110.000	17.97
1.200	111.000	21.63
1.200	112.000	23.98
1.200	113.000	25.58
1.200	114.000	26.84
1.200	115.000	27.84
1.200	116.000	28.60
1.200	117.000	29.24
1.200	118.000	29.78
1.200	119.000	30.24
1.200	120.000	30.63
1.200	121.000	30.97
1.200	122.000	31.27
1.200	123.000	31.48
1.200	124.000	31.70
1.200	125.000	31.89
1.200	126.000	32.01
1.200	127.000	32.08
1.200	129.000	32.16
1.200	130.000	32.22
1.200	131.000	32.23
1.200	132.000	32.21
1.200	133.000	32.18
1.200	134.000	32.13
1.200	135.000	32.06
1.200	136.000	31.94
1.200	137.000	31.83
1.200	138.000	31.68
1.200	139.000	31.54
1.200	140.000	31.36
1.200	141.000	31.19
1.200	142.000	30.97
1.200	143.000	30.73
1.200	144.000	30.48
1.200	145.000	30.21
1.200	146.000	29.95
1.200	147.000	29.61
1.200	148.000	29.29
1.200	149.000	28.94
1.200	150.000	28.56
1.200	151.000	28.17
1.200	152.000	27.72
1.200	153.000	27.27
1.200	154.000	26.79
1.200	155.000	26.26
1.200	156.000	25.72
1.200	157.000	25.12
1.200	158.000	24.49
1.200	159.000	23.83
1.200	160.000	23.11
1.200	161.000	22.34
1.200	162.000	23.11
1.200	163.000	20.66
1.200	164.000	19.74
1.200	165.000	18.74
1.200	166.000	17.68
1.200	167.000	18.18
1.200	168.000	16.97
1.200	169.000	15.68
1.200	170.000	14.29
1.200	171.000	12.81
1.200	172.000	11.25
1.200	173.000	9.61
1.200	174.000	6.85
1.200	175.000	5.48
1.200	176.000	4.21
1.200	177.000	3.05
1.250	90.000	27.73
1.250	91.000	27.95
1.250	92.000	28.03
1.250	93.000	28.06
1.250	94.000	27.97
1.250	95.000	27.84
1.250	96.000	27.61
1.250	97.000	27.29
1.250	98.000	26.88
1.250	99.000	26.34
1.250	100.000	25.69
1.250	101.000	24.89
1.250	102.000	23.84
1.250	103.000	22.57
1.250	104.000	20.78
1.250	105.000	18.42
1.250	106.000	15.02
1.250	107.000	9.67
1.250	108.000	0.89
1.250	109.000	11.59
1.250	110.000	20.25
1.250	111.000	24.62
1.250	112.000	27.09
1.250	113.000	28.84
1.250	114.000	30.06
1.250	115.000	31.00
1.250	116.000	31.77
1.250	117.000	32.41
1.250	118.000	32.95
1.250	119.000	33.42
1.250	120.000	33.82
1.250	121.000	34.12
1.250	122.000	34.43
1.250	123.000	34.65
1.250	124.000	34.87
1.250	125.000	35.03
1.250	126.000	35.16
1.250	127.000	35.26
1.250	128.000	35.35
1.250	129.000	35.46
1.250	130.000	35.50
1.250	131.000	35.52
1.250	132.000	35.48
1.250	133.000	35.47
1.250	134.000	35.43
1.250	135.000	35.39
1.250	136.000	35.27
1.250	137.000	35.19
1.250	138.000	35.05
1.250	139.000	34.94
1.250	140.000	34.76
1.250	141.000	34.57
1.250	142.000	34.40
1.250	143.000	34.17
1.250	144.000	33.93
1.250	145.000	33.67
1.250	146.000	33.38
1.250	147.000	33.08
1.250	148.000	32.76
1.250	149.000	32.37
1.250	150.000	32.00
1.250	151.000	31.60
1.250	152.000	31.13
1.250	153.000	30.68
1.250	154.000	30.15
1.250	155.000	29.60
1.250	156.000	30.61
1.250	157.000	30.06
1.250	158.000	29.46
1.250	159.000	27.01
1.250	160.000	28.12
1.250	161.000	27.37
1.250	162.000	26.55
1.250	163.000	25.67
1.250	164.000	24.71
1.250	165.000	23.68
1.250	166.000	22.55
1.250	167.000	21.34
1.250	168.000	20.01
1.250	169.000	18.58
1.250	170.000	17.03
1.250	171.000	15.36
1.250	172.000	13.57
1.250	173.000	11.66
1.250	174.000	9.67
1.250	175.000	7.67
1.250	176.000	5.78
1.250	177.000	4.08
1.300	90.000	30.22
1.300	91.000	30.32
1.300	92.000	30.39
1.300	93.000	30.35
1.300	94.000	30.24
1.300	95.000	30.08
1.300	96.000	29.82
1.300	97.000	29.50
1.300	98.000	29.11
1.300	99.000	28.58
1.300	100.000	27.95
1.300	101.000	27.19
1.300	102.000	26.27
1.300	103.000	25.02
1.300	104.000	23.51
1.300	105.000	21.35
1.300	106.000	18.25
1.300	107.000	13.40
1.300	108.000	4.89
1.300	109.000	10.51
1.300	110.000	23.66
1.300	111.000	28.69
1.300	112.000	31.29
1.300	113.000	33.07
1.300	114.000	34.26
1.300	115.000	35.18
1.300	116.000	35.93
1.300	117.000	36.47
1.300	118.000	37.01
1.300	119.000	37.49
1.300	120.000	37.91
1.300	121.000	38.19
1.300	122.000	38.52
1.300	123.000	38.75
1.300	124.000	39.02
1.300	125.000	39.13
1.300	126.000	39.29
1.300	127.000	39.48
1.300	128.000	39.60
1.300	129.000	39.69
1.300	130.000	39.76
1.300	131.000	39.82
1.300	132.000	39.86
1.300	133.000	39.89
1.300	134.000	39.90
1.300	135.000	39.89
1.300	136.000	39.81
1.300	137.000	39.77
1.300	138.000	39.72
1.300	139.000	39.60
1.300	140.000	39.45
1.300	141.000	39.36
1.300	142.000	39.18
1.300	143.000	38.99
1.300	144.000	38.85
1.300	145.000	38.62
1.300	146.000	38.38
1.300	147.000	38.12
1.300	148.000	37.83
1.300	149.000	37.95
1.300	150.000	37.68
1.300	151.000	37.39
1.300	152.000	37.07
1.300	153.000	35.86
1.300	154.000	35.41
1.300	155.000	34.86
1.300	156.000	34.28
1.300	157.000	33.59
1.300	158.000	32.91
1.300	159.000	32.18
1.300	160.000	31.33
1.300	161.000	30.42
1.300	162.000	29.49
1.300	163.000	28.43
1.300	164.000	27.28
1.300	165.000	26.04
1.300	166.000	24.68
1.300	167.000	23.27
1.300	168.000	21.74
1.300	169.000	20.06
1.300	170.000	18.24
1.300	171.000	16.39
1.300	172.000	14.34
1.300	173.000	12.25
1.300	174.000	10.12
1.300	175.000	8.02
1.300	176.000	6.11
1.300	177.000	4.39
1.350	90.000	33.28
1.350	91.000	33.33
1.350	92.000	33.27
1.350	93.000	33.19
1.350	94.000	33.13
1.350	95.000	32.90
1.350	96.000	32.70
1.350	97.000	32.31
1.350	98.000	31.93
1.350	99.000	31.48
1.350	100.000	30.87
1.350	101.000	30.25
1.350	102.000	29.40
1.350	103.000	28.36
1.350	104.000	27.04
1.350	105.000	25.13
1.350	106.000	22.54
1.350	107.000	18.39
1.350	108.000	10.40
1.350	110.000	30.39
1.350	111.000	35.07
1.350	112.000	37.25
1.350	113.000	38.62
1.350	114.000	39.63
1.350	115.000	40.43
1.350	116.000	41.10
1.350	117.000	41.68
1.350	118.000	42.18
1.350	119.000	42.53
1.350	120.000	42.95
1.350	121.000	43.34
1.350	122.000	43.60
1.350	123.000	43.93
1.350	124.000	44.15
1.350	125.000	42.84
1.350	126.000	44.61
1.350	127.000	44.78
1.350	128.000	44.93
1.350	129.000	45.06
1.350	130.000	45.18
1.350	131.000	45.37
1.350	132.000	45.46
1.350	133.000	45.54
1.350	134.000	45.61
1.350	135.000	45.67
1.350	136.000	45.64
1.350	137.000	45.68
1.350	138.000	45.70
1.350	139.000	45.71
1.350	140.000	45.64
1.350	141.000	45.63
1.350	142.000	44.23
1.350	143.000	44.19
1.350	144.000	44.13
1.350	145.000	45.24
1.350	146.000	45.16
1.350	147.000	44.99
1.350	148.000	44.81
1.350	149.000	44.61
1.350	150.000	44.39
